Equipo;P.J.;P.G.;P.E.;P.P;G.F.;G.C.
Almería;10;3;3;4;10;12
Athletic;10;5;1;4;11;13
Atlético;10;1;4;5;12;22
Barcelona;10;8;2;0;28;7
Deportivo;10;6;1;3;14;11
Espanyol;10;3;4;3;8;10
Getafe;10;4;0;6;12;16
Málaga;10;1;2;7;10;15
Mallorca;10;5;2;3;18;13
Osasuna;10;3;3;4;11;12
R. Madrid;10;8;1;1;26;8
Racing;10;1;4;5;10;19
Sevilla;10;7;1;2;19;7
Sporting;10;4;4;2;12;10
Tenerife;10;3;1;6;7;19
Valencia;10;6;3;1;19;10
Valladolid;10;2;4;4;14;17
Villarreal;10;2;3;5;14;14
Xerez;10;1;3;6;3;16
Zaragoza;10;3;2;5;14;21
